relative_time,Loader_front_orientation,Loader_cylinder_right,Loader_cylinder_left,Loader_cylinder_top,Loader_bucket_load_right,Loader_bucket_load_mid,Loader_bucket_load_left
15.9,0.6000389191006387,0.3072113293822466,0.307195016219331,-0.3835636616192221,3721.347656249996,7583.207147183518,4133.333333333327
15.95,0.6000020776874189,0.3065846688790606,0.306573988399671,-0.3974952716516139,3412.4999999999955,7308.676559660805,3866.6666666666592
16.0,0.5999734924660095,0.3059506439533855,0.3059604814290425,-0.4112731674349155,3087.4999999999955,7015.975166565711,3599.9999999999927
16.05,0.5998986228901655,0.3053570327052943,0.3053709445584059,-0.4236527495698625,2778.7499999999955,6705.102967898236,3333.3333333333258
16.1,0.5999351211638582,0.3047818880994554,0.3048018335260137,-0.4348198556440629,2486.2499999999964,6376.05996365838,3066.6666666666592
16.15,0.599932918917986,0.3042441381257791,0.3042527158238793,-0.4445785636768551,2209.9999999999964,6028.846153846144,2799.9999999999923
16.2,0.5999400840992931,0.3037508938551156,0.3037486962183695,-0.4528049632828864,1949.9999999999968,5663.46153846153,2533.3333333333258
16.25,0.6000005288695005,0.3032787837330175,0.3032845929772533,-0.4597501150477484,1706.2499999999968,5298.076923076915,2279.9999999999927
16.3,0.5999899175002283,0.302828101806965,0.302851027055787,-0.4653959202519743,1478.7499999999968,4932.692307692299,2039.9999999999932
16.35,0.5999416493747163,0.302415539336279,0.3024424969883985,-0.4698260711835263,1267.499999999997,4567.307692307685,1813.3333333333271
16.4,0.6000104579360273,0.3020232761974918,0.3020714584737335,-0.4728737436657746,1072.4999999999973,4201.923076923069,1599.999999999994
16.45,0.5998576463907093,0.3016821612526136,0.301724617702111,-0.4744800573402693,893.7499999999976,3836.5384615384537,1399.9999999999943
16.5,0.5999587296265406,0.3013636320331064,0.3014178966157537,-0.4747834796777867,731.2499999999976,3471.153846153839,1213.333333333328
16.55,0.5999251491689546,0.3010805009311785,0.3011252391009112,-0.4746963401611048,584.9999999999978,3124.0384615384546,1039.999999999995
16.6,0.5999023467167183,0.3008329006352929,0.3008747636512018,-0.4736718355407492,454.9999999999984,2795.1923076923017,879.9999999999957
16.65,0.5999623334549342,0.3006182013797293,0.3006597235859239,-0.471917805050554,341.24999999999847,2484.6153846153784,733.3333333333292
16.7,0.6000999111465659,0.3004325989614055,0.3004696863438014,-0.4697189351474548,243.7499999999988,2192.307692307687,599.9999999999964
16.75,0.6000263604227473,0.3002697518243047,0.3003267426199695,-0.4684168911992353,162.4999999999988,1918.2692307692253,479.9999999999965
16.8,0.5998883765260881,0.3001602354745215,0.300201651281979,-0.4675086349813782,97.49999999999903,1662.4999999999952,373.3333333333302
16.85,0.6000256470258536,0.3000616677239455,0.3001112515352159,-0.4674517760013626,48.7499999999995,1424.999999999996,279.9999999999974
16.9,0.6000933488704406,0.3000003131720487,0.3000384808197515,-0.4682085882772347,16.249999999999638,1205.7692307692269,199.99999999999767
16.95,0.6001590907717864,0.2999664155559837,0.2999991695232764,-0.4695910025162014,0.0,1004.807692307689,133.3333333333315
17.0,0.6001134735845841,0.2999710812962399,0.2999893341928681,-0.4717796079403564,0.0,822.1153846153815,79.99999999999832
17.05,0.600124084416806,0.2999274559314183,0.2999658003175199,-0.47333872328486,0.0,657.6923076923049,39.99999999999868
17.1,0.6000044586851505,0.2998775237828722,0.299903005300677,-0.4743680186999,0.0,511.5384615384593,13.333333333332575
17.15,0.599987429966143,0.2997711488884426,0.2998151032445714,-0.474990768936107,0.0,383.6538461538448,0.0
17.2,0.6000622694730053,0.2996488006793824,0.2996829563181126,-0.475040671314013,0.0,274.03846153846,0.0
17.25,0.599924145015174,0.2994955574739196,0.2995226993715437,-0.4737116208720099,0.0,182.69230769230623,0.0
17.3,0.599854665197845,0.2993110194021712,0.2993382280544202,-0.4711685182520855,0.0,109.61538461538348,0.0
17.35,0.5997839648826415,0.2990961005273423,0.2991137343080227,-0.4675861325098948,0.0,54.80769230769174,0.0
17.4,0.5997703520203596,0.2988526292504295,0.2988620107698455,-0.4626822284445664,0.0,18.26923076923104,0.0
17.45,0.599860856217407,0.2985742919222773,0.2985851287138952,-0.4564152603213891,0.0,0.0,0.0
17.5,0.5998332166318749,0.2982609757145703,0.2982634353157998,-0.4490093546058947,0.0,0.0,0.0
17.55,0.5998935264419292,0.2979091274685802,0.2979239042523781,-0.4401905493006261,0.0,0.0,0.0
17.6,0.5998746221727397,0.2975304196056488,0.2975451680352573,-0.4302335192979633,0.0,0.0,0.0
17.65,0.5997979076423839,0.2971185236063713,0.297139263635561,-0.4189684881448472,0.0,0.0,0.0
17.7,0.5996999814132559,0.2966954178086912,0.296695655999473,-0.4064941204477041,0.0,0.0,0.0
17.75,0.5997490240117183,0.2962187891577685,0.296228635157283,-0.3939858909342026,0.0,0.0,0.0
17.8,0.5998282981073102,0.2957120100002383,0.2957276897158882,-0.3813700328970363,0.0,0.0,0.0
17.85,0.5997562648439404,0.2951790596920369,0.2951965241707208,-0.3687883249537472,0.0,0.0,0.0
17.9,0.5996418264214362,0.2946267397765021,0.2946343488099613,-0.3562404320748951,0.0,0.0,0.0
17.95,0.5996914572304768,0.2940382746202264,0.2940495495126244,-0.3436942114126669,0.0,0.0,0.0
18.0,0.5997554048700013,0.2934127450184348,0.2934230197359865,-0.3312706688724661,0.0,0.0,0.0
18.05,0.5998202033244835,0.2928009399352133,0.2927840580407924,-0.3185941823932584,0.0,0.0,0.0
18.1,0.5998614850959798,0.2921728842620474,0.2921655815963894,-0.3060226518817637,0.0,0.0,0.0
18.15,0.5997224622857144,0.2915479525334185,0.2915469746004528,-0.2936054895526206,0.0,0.0,0.0
18.2,0.599838027367416,0.2909182684979848,0.2909279180521181,-0.2811907488758308,0.0,0.0,0.0
18.25,0.5998650495203328,0.2902983164645195,0.2903000639943237,-0.268769962393234,0.0,0.0,0.0
18.3,0.599952836695791,0.2896806405028866,0.2896714391447612,-0.256357473690829,0.0,0.0,0.0
18.35,0.6000346541951277,0.289041415023106,0.289048169290814,-0.2438665036051515,0.0,0.0,0.0
18.4,0.6000084579527749,0.2884077818332572,0.2884254236879503,-0.2312882083987999,0.0,0.0,0.0
18.45,0.6000168429421429,0.2877763683854558,0.2877957682200524,-0.2188357927416475,0.0,0.0,0.0
18.5,0.6000506754742113,0.2871502751443435,0.2871840287645588,-0.2063754905785921,0.0,0.0,0.0
18.55,0.6000080352594226,0.2865412503090625,0.2865584215132689,-0.1939159334229279,0.0,0.0,0.0
18.6,0.5999925639138867,0.2859136101569671,0.2859339086936714,-0.1814463858778938,0.0,0.0,0.0
18.65,0.6000082041126216,0.2852880005685839,0.2853137041714583,-0.1690398056478527,0.0,0.0,0.0
18.7,0.600081760577219,0.2846493915533552,0.2846998243937544,-0.156577557921573,0.0,0.0,0.0
18.75,0.6001656322204504,0.2840251935537199,0.2840671087666385,-0.1442860745173035,0.0,0.0,0.0
18.8,0.6001776964138363,0.2833968376149004,0.2834403895325464,-0.1317927782667782,0.0,0.0,0.0
18.85,0.6001555329618233,0.2827789340831067,0.282817473632749,-0.1192129504659335,0.0,0.0,0.0
18.9,0.6002001449959519,0.2821392641646764,0.2821983339762733,-0.1067713716810423,0.0,0.0,0.0
18.95,0.6001238517609963,0.2815202687410957,0.2815731728042688,-0.0941872313432326,0.0,0.0,0.0
19.0,0.600047124763515,0.2808884722693128,0.2809431136147591,-0.0815733749350263,0.0,0.0,0.0
19.05,0.5999959976828617,0.2803005094248691,0.2803512156407295,-0.070079531116123,0.0,0.0,0.0
19.1,0.6000198579867759,0.2797536045109089,0.2797887830154262,-0.0593149329240307,0.0,0.0,0.0
19.15,0.6000672460600147,0.2792304889954116,0.2792456182353381,-0.0494793235150355,0.0,0.0,0.0
19.2,0.5997973820371019,0.2787271920785031,0.2787499047217154,-0.0405310778358187,0.0,0.0,0.0
19.25,0.5998317406636506,0.2782661128352995,0.2782878521761852,-0.032482217752634,0.0,0.0,0.0
